KODU,ÜNİVERSİTE,ŞEHİR,TÜRÜ,FAKÜLTE,PROGRAM,SÜRE ,PAUNtÜRÜ,KONT. ,OBKONT.,MEB,AÇIKLAMALAR,B.SIRASI,PUAN,P.DR.SAYI,D.DR.SAYI,DR.ÖĞR.ÜYE SAYI,Student_ID,Student_Alan,Student_AYT_Say_Sıra,Student_AYT_EA_Sıra,Student_AYT_Söz_Sıra,Student_AYT_Dil_Sıra
110910294.0,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ ,ANKARA,Devlet,  Uluslararası Ticaret ve Lojistik (İngilizce) (Burslu),  Uluslararası Ticaret ve Lojistik (İngilizce) (Burslu),4,EA,8,,,"4, 18, 19, 20, 21, 22, 23, 24, 64",0.0,----,,,,827,Ea,193,100,52,52
100810268.0,AKSARAY ÜNİVERSİTESİ ,AKSARAY,Devlet,İktisadi ve İdari Bilimler Fakültesi,  İktisat,4,EA,30,1.0,,,0.0,,3.0,5.0,3.0,827,Ea,193,100,52,52
103310201.0,DÜZCE ÜNİVERSİTESİ  ,DÜZCE,Devlet,İşletme Fakültesi,  İşletme,4,EA,50,2.0,,,0.0,,3.0,4.0,3.0,827,Ea,193,100,52,52
108510053.0,OSMANİYE KORKUT ATA ÜNİVERSİTESİ ,OSMANİYE,Devlet,İktisadi ve İdari Bilimler Fakültesi,  İşletme,4,EA,40,1.0,,,0.0,,4.0,1.0,6.0,827,Ea,193,100,52,52
107710099.0,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ ,HATAY,Devlet,İktisadi ve İdari Bilimler Fakültesi,  İktisat,4,EA,50,2.0,,,0.0,,4.0,2.0,2.0,827,Ea,193,100,52,52
111790339.0,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ ,ANKARA,Devlet,Tapu Kadastro Yüksekokulu,  Emlak ve Emlak Yönetimi,4,EA,40,1.0,,1,0.0,----,,,,827,Ea,193,100,52,52
107090219.0,NECMETTİN ERBAKAN ÜNİVERSİTESİ ,KONYA,Devlet,Siyasal Bilgiler Fakültesi,  Maliye,4,EA,50,2.0,,,0.0,,1.0,1.0,2.0,827,Ea,193,100,52,52
101010767.0,ANADOLU ÜNİVERSİTESİ ,ESKİŞEHİR,Devlet,İşletme Fakültesi,  İşletme (Açıköğretim),4,EA,800,20.0,,13,0.0,,,,,827,Ea,193,100,52,52
100490217.0,AFYON KOCATEPE ÜNİVERSİTESİ ,AFYONKARAHİSAR,Devlet,Bolvadin Uygulamalı Bilimler Fakültesi,  Lojistik Yönetimi (KKTC Uyruklu),4,EA,1,,,5,0.0,,,,,827,Ea,193,100,52,52
108010482.0,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ ,NEVŞEHİR,Devlet,İktisadi ve İdari Bilimler Fakültesi,  Uluslararası Ticaret ve Lojistik,4,EA,60,2.0,,,0.0,,,1.0,3.0,827,Ea,193,100,52,52
